part_name,car_type,solid,metallic,pearl
Hood,Hatchback,3250,3650,4100
Hood,Premium Hatchback,3250,3650,4250
Hood,Compact SUV,3250,3800,4300
Hood,Sedan,3250,3800,4300
Hood,SUV/MPV,3650,3850,4550
Hood,Premium Sedan,3650,3850,4550
Door Fender (Each),Hatchback,2850,3200,3500
Door Fender (Each),Premium Hatchback,2850,3200,3500
Door Fender (Each),Compact SUV,3000,3200,3800
Door Fender (Each),Sedan,2850,3200,3800
Door Fender (Each),SUV/MPV,3200,3600,3800
Door Fender (Each),Premium Sedan,3200,3600,3800
Door Front,Hatchback,3250,3650,4100
Door Front,Premium Hatchback,3250,3650,4250
Door Front,Compact SUV,3250,3800,4300
Door Front,Sedan,3250,3800,4300
Door Front,SUV/MPV,3650,3850,4550
Door Front,Premium Sedan,3650,3850,4550
Door Rear,Hatchback,3250,3650,4100
Door Rear,Premium Hatchback,3250,3650,4250
Door Rear,Compact SUV,3250,3800,4300
Door Rear,Sedan,3250,3800,4300
Door Rear,SUV/MPV,3650,3850,4550
Door Rear,Premium Sedan,3650,3850,4550
Dicky Door,Hatchback,3250,3650,4100
Dicky Door,Premium Hatchback,3250,3650,4250
Dicky Door,Compact SUV,3250,3800,4300
Dicky Door,Sedan,3250,3800,4300
Dicky Door,SUV/MPV,3650,3850,4550
Dicky Door,Premium Sedan,3650,3850,4550
Rr Outer body,Hatchback,2850,3200,3500
Rr Outer body,Premium Hatchback,2850,3200,3500
Rr Outer body,Compact SUV,3000,3200,3800
Rr Outer body,Sedan,2850,3200,3800
Rr Outer body,SUV/MPV,3200,3600,3800
Rr Outer body,Premium Sedan,3200,3600,3800
Ctr Outer body,Hatchback,2250,2500,2800
Ctr Outer body,Premium Hatchback,2250,2500,2800
Ctr Outer body,Compact SUV,2250,2500,2800
Ctr Outer body,Sedan,2250,2500,2800
Ctr Outer body,SUV/MPV,2250,2800,3000
Ctr Outer body,Premium Sedan,2250,2800,3000
 Side Sill Outer body,Hatchback,1650,2000,2200
Side Sill Outer body,Premium Hatchback,1650,2000,2200
Side Sill Outer body,Compact SUV,1650,2000,2200
Side Sill Outer body,Sedan,1650,2000,2200
Side Sill Outer body,SUV/MPV,1800,2500,3200
Side Sill Outer body,Premium Sedan,1800,2500,3200
Frt Outer body,Hatchback,2250,2500,2800
Frt Outer body,Premium Hatchback,2250,2500,2800
Frt Outer body,Compact SUV,2250,2500,2800
Frt Outer body,Sedan,2250,2500,2800
Frt Outer body,SUV/MPV,2250,2800,3000
Frt Outer body,Premium Sedan,2250,2800,3000
Roof,Hatchback,3250,3650,4100
Roof,Premium Hatchback,3250,3650,4250
Roof,Compact SUV,3250,3800,4300
Roof,Sedan,3250,3800,4300
Roof,SUV/MPV,3650,3850,4550
Roof,Premium Sedan,3650,3850,4550
Cowl Top,Hatchback,1650,                          Null,                        Null
Cowl Top,Premium Hatchback,1650,                          Null,                        Null
Cowl Top,Compact SUV,1650,                          Null,                        Null
Cowl Top,Sedan,1650,                          Null,                        Null
Cowl Top,SUV/MPV,1800,                          Null,                        Null
Cowl Top,Premium Sedan,1800,                          Null,                        Null
Apron,Hatchback,1800,                          Null,                        Null
Apron,Premium Hatchback,1800,                          Null,                        Null
Apron,Compact SUV,1800,                          Null,                        Null
Apron,Sedan,1800,                          Null,                        Null
Apron,SUV/MPV,2000,                          Null,                        Null
Apron,Premium Sedan,2000,                          Null,                        Null
Fire Wall(Panel Dash),Hatchback,1650,                          Null,                        Null
Fire Wall(Panel Dash),Premium Hatchback,1650,                          Null,                        Null
Fire Wall(Panel Dash),Compact SUV,1650,                          Null,                        Null
Fire Wall(Panel Dash),Sedan,1650,                          Null,                        Null
