Package Name,Brand Name,Model Name,Segment,Fuel Variant,Market Price
Basic Service,Chevrolet,Aveo,Sedan,Petrol,2799
Standard Service,Chevrolet,Aveo,Sedan,Petrol,3999
Comprehensive Service,Chevrolet,Aveo,Sedan,Petrol,5699
Basic Service,Chevrolet,Aveo,Sedan,CNG,2799
Standard Service,Chevrolet,Aveo,Sedan,CNG,3799
Comprehensive Service,Chevrolet,Aveo,Sedan,CNG,5699
Basic Service,Chevrolet,Aveo,Sedan,Diesel,3099
Standard Service,Chevrolet,Aveo,Sedan,Diesel,4199
Comprehensive Service,Chevrolet,Aveo,Sedan,Diesel,6499
Basic Service,Chevrolet,Beat,Hatchback,Petrol,2399
Standard Service,Chevrolet,Beat,Hatchback,Petrol,2999
Comprehensive Service,Chevrolet,Beat,Hatchback,Petrol,5199
Basic Service,Chevrolet,Beat,Hatchback,CNG,2399
Standard Service,Chevrolet,Beat,Hatchback,CNG,2999
Comprehensive Service,Chevrolet,Beat,Hatchback,CNG,5199
Basic Service,Chevrolet,Beat,Hatchback,Diesel,2399
Standard Service,Chevrolet,Beat,Hatchback,Diesel,2999
Comprehensive Service,Chevrolet,Beat,Hatchback,Diesel,5199
Basic Service,Chevrolet,Captiva,Premium SUV,Diesel,5099
Standard Service,Chevrolet,Captiva,Premium SUV,Diesel,6499
Comprehensive Service,Chevrolet,Captiva,Premium SUV,Diesel,10099
Basic Service,Chevrolet,Cruze,Premium Sedan,Petrol,4199
Standard Service,Chevrolet,Cruze,Premium Sedan,Petrol,5399
Comprehensive Service,Chevrolet,Cruze,Premium Sedan,Petrol,8099
Basic Service,Chevrolet,Cruze,Premium Sedan,CNG,4199
Standard Service,Chevrolet,Cruze,Premium Sedan,CNG,5399
Comprehensive Service,Chevrolet,Cruze,Premium Sedan,CNG,8099
Basic Service,Chevrolet,Cruze,Premium Sedan,Diesel,5099
Standard Service,Chevrolet,Cruze,Premium Sedan,Diesel,6499
Comprehensive Service,Chevrolet,Cruze,Premium Sedan,Diesel,10299
Basic Service,Chevrolet,Enjoy,SUV,Petrol,3799
Standard Service,Chevrolet,Enjoy,SUV,Petrol,4799
Comprehensive Service,Chevrolet,Enjoy,SUV,Petrol,6399
Basic Service,Chevrolet,Enjoy,SUV,CNG,3799
Standard Service,Chevrolet,Enjoy,SUV,CNG,4799
Comprehensive Service,Chevrolet,Enjoy,SUV,CNG,6399
Basic Service,Chevrolet,Enjoy,SUV,Diesel,3999
Standard Service,Chevrolet,Enjoy,SUV,Diesel,5099
Comprehensive Service,Chevrolet,Enjoy,SUV,Diesel,7699
Basic Service,Toyota,Fortuner,Premium SUV,Petrol,5099
Standard Service,Toyota,Fortuner,Premium SUV,Petrol,6499
Comprehensive Service,Toyota,Fortuner,Premium SUV,Petrol,10099
Basic Service,Chevrolet,Forester,SUV,CNG,5099
Standard Service,Chevrolet,Forester,SUV,CNG,6499
Comprehensive Service,Chevrolet,Forester,SUV,CNG,10099
Basic Service,Chevrolet,Forester,SUV,Diesel,5699
Standard Service,Chevrolet,Forester,SUV,Diesel,7299
Comprehensive Service,Chevrolet,Forester,SUV,Diesel,10899
Basic Service,Chevrolet,Optra,Sedan,Petrol,3499
Standard Service,Chevrolet,Optra,Sedan,Petrol,4599
Comprehensive Service,Chevrolet,Optra,Sedan,Petrol,6699
Basic Service,Chevrolet,Optra,Sedan,CNG,3499
Standard Service,Chevrolet,Optra,Sedan,CNG,4599
Comprehensive Service,Chevrolet,Optra,Sedan,CNG,6699
Basic Service,Chevrolet,Optra,Sedan,Diesel,5099
Standard Service,Chevrolet,Optra,Sedan,Diesel,6499
Comprehensive Service,Chevrolet,Optra,Sedan,Diesel,10099
