make,model,fuel,car_type,package_name,package_description,package_price,discounted_price,service_time
Chevrolet,Aveo,Petrol,Sedan,Standard Service,Recommanded every 5000 Km,2799,4799,2 Hours
Chevrolet,Aveo,Petrol,Sedan,Advance Service,Recommanded every 10000 Km,3999,5999,3 Hours
Chevrolet,Aveo,Petrol,Sedan,Superior Service,Recommanded every 10000 Km,5699,7699,4 Hours
Chevrolet,Aveo,CNG,Sedan,Standard Service,Recommanded every 5000 Km,2799,4799,2 Hours
Chevrolet,Aveo,CNG,Sedan,Advance Service,Recommanded every 10000 Km,3799,5799,3 Hours
Chevrolet,Aveo,CNG,Sedan,Superior Service,Recommanded every 10000 Km,5699,7699,4 Hours
Chevrolet,Aveo,Diesel,Sedan,Standard Service,Recommanded every 5000 Km,3099,5099,2 Hours
Chevrolet,Aveo,Diesel,Sedan,Advance Service,Recommanded every 10000 Km,4199,6199,3 Hours
Chevrolet,Aveo,Diesel,Sedan,Superior Service,Recommanded every 10000 Km,6499,8499,4 Hours
Chevrolet,Beat,Petrol,Hatchback,Standard Service,Recommanded every 5000 Km,2399,4399,2 Hours
Chevrolet,Beat,Petrol,Hatchback,Advance Service,Recommanded every 10000 Km,2999,4999,3 Hours
Chevrolet,Beat,Petrol,Hatchback,Superior Service,Recommanded every 10000 Km,5199,7199,4 Hours
Chevrolet,Beat,CNG,Hatchback,Standard Service,Recommanded every 5000 Km,2399,4399,2 Hours
Chevrolet,Beat,CNG,Hatchback,Advance Service,Recommanded every 10000 Km,2999,4999,3 Hours
Chevrolet,Beat,CNG,Hatchback,Superior Service,Recommanded every 10000 Km,5199,7199,4 Hours
Chevrolet,Beat,Diesel,Hatchback,Standard Service,Recommanded every 5000 Km,2399,4399,2 Hours
Chevrolet,Beat,Diesel,Hatchback,Advance Service,Recommanded every 10000 Km,2999,4999,3 Hours
Chevrolet,Beat,Diesel,Hatchback,Superior Service,Recommanded every 10000 Km,5199,7199,4 Hours
Chevrolet,Captiva,Diesel,SUV/MPV,Standard Service,Recommanded every 5000 Km,5099,7099,2 Hours
Chevrolet,Captiva,Diesel,SUV/MPV,Advance Service,Recommanded every 10000 Km,6499,8499,3 Hours
Chevrolet,Captiva,Diesel,SUV/MPV,Superior Service,Recommanded every 10000 Km,10099,12099,4 Hours
Chevrolet,Cruze,Petrol,Premium Sedan,Standard Service,Recommanded every 5000 Km,4199,6199,2 Hours
Chevrolet,Cruze,Petrol,Premium Sedan,Advance Service,Recommanded every 10000 Km,5399,7399,3 Hours
Chevrolet,Cruze,Petrol,Premium Sedan,Superior Service,Recommanded every 10000 Km,8099,10099,4 Hours
Chevrolet,Cruze,CNG,Premium Sedan,Standard Service,Recommanded every 5000 Km,4199,6199,2 Hours
Chevrolet,Cruze,CNG,Premium Sedan,Advance Service,Recommanded every 10000 Km,5399,7399,3 Hours
Chevrolet,Cruze,CNG,Premium Sedan,Superior Service,Recommanded every 10000 Km,8099,10099,4 Hours
Chevrolet,Cruze,Diesel,Premium Sedan,Standard Service,Recommanded every 5000 Km,5099,7099,2 Hours
